Genre,Proto-Elamite,Ur III,Old Babylonian
Administrative,103,946,48
Legal,0,8,57
Letter,0,15,13
Literary,0,1,396
Official or Display,0,6,11
Scholarly or Scientific,0,4,0
No value,0,6,51
Lexical,0,0,24
Scholarly or Scientific Divination,0,0,1
Scholarly or Scientific Mathematical,0,0,21
